QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	Yes
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	Yes
