QuestionID	QuestionText	BlockID	BlockText	Answer	RegionName	N	Percentage
Q07.6 	Regulations affect the functioning of the NSOs published on the website	R01		Yes	Europe	31	33.33
Q07.6 	Regulations affect the functioning of the NSOs published on the website	R01		Yes	Africa	13	13.98
Q07.6 	Regulations affect the functioning of the NSOs published on the website	R01		Yes	Americas	8	8.6
Q07.6 	Regulations affect the functioning of the NSOs published on the website	R01		Yes	Oceania	3	3.23
Q07.6 	Regulations affect the functioning of the NSOs published on the website	R01		No	Asia	6	6.45
Q07.6 	Regulations affect the functioning of the NSOs published on the website	R01		NSO does not have a website	Europe	1	1.08
Q07.6 	Regulations affect the functioning of the NSOs published on the website	R01		Yes	Asia	18	19.35
Q07.6 	Regulations affect the functioning of the NSOs published on the website	R01		No	Americas	5	5.38
Q07.6 	Regulations affect the functioning of the NSOs published on the website	R01		No	Africa	4	4.3
Q07.6 	Regulations affect the functioning of the NSOs published on the website	R01		No	Europe	3	3.23
Q07.6 	Regulations affect the functioning of the NSOs published on the website	R01		No	Oceania	1	1.08
